#Encoding: UTF-8
#Ecu CALID: 000020DB1DAA03
#Ecu PRGID: 000021571DAA01
#VIN: WBA1J9C5XGV696132
Time,Amb pressure (PSI),Accel Ped. Pos. (%),Battery volt. (V),Boost (PSI),Boost (mani) (PSI),Boost target (PSI),Coolant (*F),Gear (-),IAT (*F),Lambda bank 1 (AFR),Lambda target (AFR),Load act. (%),Load req. (%),LTFT 1 (%),MAF (g/s),MAP volt. (V),Oil pressure (PSI),Oil temp (*F),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),STFT 1 (%),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),TMAP volt. (V),Torque act. clutch (Nm),WGDC (%),Boost (mani) RAM (PSI),Boost setpoint factor,Boost target RAM (PSI),Compressor after P-D (kW),Compressor base (kW),Current Map (-),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Fuel mass flow rate (g/s),Fuel Mode (-),Fuel Temp (CAN) (*F),Knock Interpolation (-),Load actual RAM,MAF REQ (P corr.) (g/s),MAF req. WGDC (g/s),Mdk_max_gs (NM),MHD+ WGDC Base (%),MHD+ WGDC D-Factor (%),MHD+ WGDC P-Factor (%),Rail pressure dev. (MPa),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),Turbine D-factor (kW),Turbine P-factor (kW),WG distribution factor (-),WGDC I-factor (%),MHD 5.21 000021571DAA01 E85v6InjectorsFix.bin
582.956,14.75,0.8,15.06,0.3,-0.6,0,180,5,68,90.51,104.71,12,12.1,0.01,10.5,1.87,72.74,174,2214.6,2093.9,2634,0,8.9,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,1.24,-50,99.3,-0.6,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12.4,11,11.09,1000,99.99,0,-1.68,-0.62,0,0,0,0,-0.02,0.13,-0.01,0
583.056,14.75,0.8,15.06,0.3,-0.7,0,180,5,68,92.88,117.14,12,12.1,0.01,10.4,1.87,72.26,174,2093.4,2092.3,2646,0,8.4,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,1.24,-50,99.3,-0.7,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12.2,11.02,11.08,1000,99.99,0,-1.69,0.67,0,0,0,0,-0.02,0.12,-0.01,0
583.162,14.75,1.6,15.06,0.3,-0.7,0,180,5,68,67.56,129.76,12,12.1,0.01,10.3,1.87,72.71,174,2006.3,2091.6,2628,0,8.4,4.1,4.1,4.1,4.1,4.1,4.1,1.24,-49,99.3,-0.7,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12.2,11.02,11.08,1000,99.99,0,-1.77,0.41,0,0,0,0,-0.03,0.11,-0.01,0
583.269,14.75,3.1,15.06,0.3,-0.7,0,180,5,68,33.95,143.36,12,12.1,0.01,10.3,1.86,72.56,174,2030.7,2090.7,2616,0,8.4,7.3,7.3,7.3,7.3,7.3,7.3,1.24,-44,99.2,-0.7,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12.2,10.95,11.02,1000,99.99,0,-1.71,0.15,0,0,0,0,-0.02,0.11,-0.01,0
583.399,14.75,9.8,15.06,0.3,-0.7,0,180,5,68,19.8,70.83,12,12.1,0.01,10.2,1.86,72.04,174,2063.5,2089.1,2615,0,8.4,10.7,10.7,10.7,10.7,10.7,10.7,1.24,-38,99.3,-0.8,1,0,0,0,2,0,0,0,0,0,0,11.3,2,-40,0,13.1,13.72,11.57,1000,99.99,0,-1.63,0.2,0,0,0,0,-0.02,0.1,-0.01,0
583.506,14.75,10.2,15.06,0.2,-0.7,0,180,5,68,15.91,41.27,15.8,16.8,0.01,13.7,1.87,72.48,174,2276.8,2164.1,2618,0,11.3,13.7,13.7,13.7,13.7,13.7,13.7,1.23,-26,99.4,-0.7,1,0,0,0,2,0,0,0,0,0,0,13.7,2,-40,0,16.5,14.95,14.24,1000,99.99,0,-1.54,0.01,0,0,0,0,-0.03,0.13,-0.01,0
583.607,14.75,9.4,15.06,0.3,-0.7,0,180,5,68,14.63,30.38,15.8,15.8,0.01,13.8,1.87,71.59,174,2081.4,2166.5,2617,0,11.1,16.3,16.3,16.3,16.3,16.3,16.3,1.24,-12,99.5,-0.7,1,0,0,0,2,0,0,0,0,0,0,13.1,2,-40,0,15.6,13.25,14.14,1000,99.99,0,-1.57,-0.06,0,0,0,0,-0.03,0.15,-0.01,0
583.707,14.75,7.5,15.04,0.3,-0.7,0,180,5,68,13.28,25.14,12.8,13,0.01,10.8,1.86,73.35,174,2130,2151.6,2600,0,8.5,18.9,18.9,18.9,18.9,18.9,18.9,1.24,-13,99.4,-0.7,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,11.8,10.84,12.1,1000,99.99,0,-1.6,0.1,0,0,0,0,-0.03,0.14,-0.01,0
583.825,14.75,7.5,15.04,0.3,-0.7,0,180,5,68,13.11,21.62,12,12.1,0.01,10,1.86,69.86,174,2135.5,2129.1,2587,0,8.3,21.5,21.5,21.5,21.5,21.5,21.5,1.24,-22,99.4,-0.8,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12,10.8,11.21,1000,99.99,0,-1.59,0.05,0,0,0,0,-0.02,0.11,-0.01,0
583.956,14.75,6.3,15.03,0.3,-0.8,0,180,5,68,13.44,19.02,11.2,12.1,0.01,10,1.85,72.29,174,2121,2111.2,2597,0,8.4,24.5,24.5,24.5,24.5,24.5,24.5,1.23,-18,99.4,-0.7,1,0,0,0,2,0,0,0,0,0,0,10.5,2,-40,0,12,10.82,10.94,1000,99.99,0,-1.55,0.01,0,0,0,0,-0.02,0.11,-0.01,0
